border_dyad,border_spillover_exposure_score,risk_level,recent_events,recent_fatalities,baseline_events,trend_ratio_2024_25_vs_2022_23,pct_events_within_50km,pct_events_within_100km,median_distance_km,recent_violence_score,proximity_score,trend_score,fatalities_score
Burkina Faso - Mali,0.6454418042808167,High,1674,6355,2409,0.6950207468879668,0.39234677675452523,0.7561130517624642,63.5713705757294,1.0,0.0,0.4772090214040834,1.0
Benin - Niger,0.47712034882831034,Moderate,108,281,111,0.9732142857142857,1.0,1.0,3.6463737867660457,0.053204353083434096,1.0,1.0,0.03892405063291139
Burkina Faso - Niger,0.4153188273032241,Moderate,691,3646,1133,0.6102292768959435,0.6445672191528545,0.8176795580110497,36.56391461431919,0.405683192261185,0.4150729935261766,0.31786594046577654,0.5713607594936709
Niger - Nigeria,0.37993058319693734,Moderate,342,1407,401,0.8532338308457711,0.6708701134930644,0.7641866330390921,16.698480765635843,0.1946795646916566,0.4583590213690409,0.7745285541938698,0.2170886075949367
Cameroon - Nigeria,0.34767564300809245,Moderate,626,2279,844,0.7420118343195267,0.47683264177040113,0.706777316735823,57.488910176148,0.36638452237001207,0.13903631509537143,0.5655163080767935,0.3550632911392405
Burkina Faso - Togo,0.33312064533834473,Moderate,273,1230,331,0.8253012048192772,0.6333808844507846,0.9158345221112696,34.58064743595874,0.15296251511487305,0.39666391697701625,0.7220365913799477,0.18908227848101267
Burkina Faso - Ivory Coast,0.23003972612463683,Low,83,356,151,0.5526315789473685,0.7940298507462686,1.0,19.908575778681964,0.0380894800483676,0.6610399790958975,0.20962634222619722,0.05079113924050633
Benin - Burkina Faso,0.1791000257898266,Low,143,678,215,0.6666666666666666,0.5121951219512195,0.9718574108818011,47.22985005201822,0.0743651753325272,0.19723148106840363,0.4239250472017384,0.10174050632911392
Benin - Nigeria,0.14515842064607345,Low,20,35,27,0.75,0.46296296296296297,0.6481481481481481,65.89876710484315,0.0,0.11621132499104804,0.5805279469915572,0.0
Mali - Niger,0.13335457085824015,Low,276,972,627,0.4410828025477707,0.5119453924914675,0.8955631399317406,48.14318060673381,0.154776299879081,0.1968205074238993,0.0,0.1482594936708861
Burkina Faso - Ghana,0.10067131968391042,Low,78,244,154,0.5096774193548387,0.5282258064516129,0.8911290322580645,46.87170508927592,0.03506650544135429,0.2236127852187766,0.12890539082349933,0.03306962025316456
