border_dyad,events,operational_geo_events,pct_within_10km_major_road,pct_within_25km_protected_area,median_distance_to_major_road_km,median_distance_to_protected_area_km
Burkina Faso - Mali,6298,3381,0.4838043823436011,0.006192442045093681,0.4748778506836387,145.9866045048602
Cameroon - Nigeria,2892,0,0.0,0.0,,
Burkina Faso - Niger,2715,2715,0.8500920810313075,0.049723756906077346,0.3668416835032092,146.81927828846628
Niger - Nigeria,1586,662,0.30138713745271123,0.004413619167717529,2.641499430247172,261.3023932481609
Mali - Niger,1465,588,0.20477815699658702,0.0,9.599820810730181,187.2859330351794
Mali - Mauritania,1091,0,0.0,0.0,,
Burkina Faso - Togo,701,701,0.978601997146933,0.28815977175463625,0.1720524933956888,41.53713111945724
Benin - Burkina Faso,533,533,0.9343339587242027,0.5891181988742964,0.23807262130952944,19.37349162087806
Burkina Faso - Ivory Coast,335,335,0.8417910447761194,0.023880597014925373,0.20566618987278806,114.51813993506453
Burkina Faso - Ghana,248,248,0.9475806451612904,0.11693548387096774,0.20614330972459197,66.36029619101977
Algeria - Mali,236,0,0.0,0.0,,
Benin - Niger,219,219,0.9908675799086758,0.9908675799086758,0.3120697470008968,4.5440089794312595
Chad - Nigeria,182,0,0.0,0.0,,
Chad - Niger,130,130,0.8384615384615385,0.0,0.16407550950953317,203.6359349609018
Guinea - Mali,83,0,0.0,0.0,,
Benin - Togo,72,72,1.0,0.8472222222222222,0.14946628911140647,12.969656323342734
Benin - Nigeria,54,32,0.5925925925925926,0.35185185185185186,0.0635554252533042,24.082381696296267
Ivory Coast - Mali,13,0,0.0,0.0,,
Algeria - Niger,5,5,0.8,0.0,0.10405316537565841,110.49469565269003
Mali - Senegal,5,0,0.0,0.0,,
Ghana - Togo,2,2,1.0,1.0,4.456340808871202,15.321534025176208
